,Year,Date,Police_Sta,Road,Address,City,State,Zip_Code,Time,Kind,Reason,Vehicle,Victim,Age,geometry,Zip_code,_Adress,x,y,year
109,2012.0,2012-07-22,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Λοιπό Οδικό Δίκτυο,138 Λεωφόρος Βουλιαγμένης,Ελληνικό,Αττική,,24:00 - 07:00,Σύγκρουση,Λοιπά αίτια αναφερόμενα σε οδηγούς,motorcycle,Οδηγός,18-25,POINT Z (23.74637434569956 37.90041354684774 0),17234.0,,23.746374345699564,37.900413546847744,2012.0
110,2012.0,2012-07-24,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,30 Μεσογείων,Αθήνα,Αττική,,24:00 - 07:00,Ανατροπή,Λοιπά αίτια αναφερόμενα σε οδηγούς,motorcycle,Οδηγός,26-35,POINT Z (23.76331945802661 37.98600917918031 0),17341.0,,23.763319458026615,37.986009179180314,2012.0
111,2012.0,2012-07-24,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,31 Μεσογείων,Αθήνα,Αττική,,24:00 - 07:00,Ανατροπή,Λοιπά αίτια αναφερόμενα σε οδηγούς,motorcycle,Επιβάτης,26-35,POINT Z (23.76331623395708 37.98601087710034 0),17341.0,,23.763316233957084,37.98601087710034,2012.0
112,2012.0,2012-07-25,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,Νηρέως & Δωρίδος,Ραφήνα,Αττική,,07:00 - 09:00,Σύγκρουση,Λοιπά αίτια αναφερόμενα σε οδηγούς,motorcycle,Οδηγός,36-45,POINT Z (24.01584935206597 38.01231371680461 0),19009.0,,24.01584935206597,38.01231371680461,2012.0
113,2012.0,2012-07-25,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,378 Φιλαδέλφειας,Αχαρναί,Αττική,,17:00 - 21:00,Σύγκρουση,Κίνηση στο αντίθετο ρεύμα,car,Οδηγός,26-35,POINT Z (23.73682717883128 38.05132180875449 0),13671.0,,23.736827178831277,38.051321808754494,2012.0
114,2012.0,1900-07-29,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,1 Ποταμού,Κορυδαλλός,Αττική,,09:00 - 13:00,Σύγκρουση,Λοιπά αίτια αναφερόμενα σε οδηγούς,car,Επιβάτης,55+,POINT Z (23.6420849295759 37.98591719202483 0),18122.0,,23.6420849295759,37.98591719202483,1900.0
115,2012.0,2012-07-30,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Λοιπό Οδικό Δίκτυο,80 Λεωφόρος Νάτο,Ασπρόπυργος,Αττική,,07:00 - 09:00,Παράσυρση Πεζού,Λοιπά αίτια αναφερόμενα σε οδηγούς,Other,Πεζός,55+,POINT Z (23.59959406821173 38.0718713570775 0),19300.0,,23.59959406821173,38.0718713570775,2012.0
116,2012.0,2012-08-02,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Λοιπό Ε.Ο. Δίκτυο,27ο χλμ Αθηνών - Κορίνθου,Ελευσίνα,Αττική,,24:00 - 07:00,Παράσυρση Πεζού,Αίτια αναφερόμενα στους πεζούς,car,Πεζός,36-45,POINT Z (23.49872124399025 38.04554116809049 0),19200.0,,23.498721243990246,38.045541168090494,2012.0
117,2012.0,2012-08-03,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Λοιπό Οδικό Δίκτυο,10 Αριστοφάνους,Σκάλα Ωροπού,Αττική,,09:00 - 13:00,Σύγκρουση,Κίνηση στο αντίθετο ρεύμα,car,Οδηγός,55+,POINT Z (23.79156261202496 38.31937520280343 0),19015.0,,23.79156261202496,38.31937520280343,2012.0
118,2012.0,2012-08-03,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,39 Λεωφόρος Σουνίου,Καλύβια Θωρικού,Αττική,,13:00 - 17:00,Σύγκρουση,Λοιπά αίτια αναφερόμενα σε οδηγούς,motorcycle,Οδηγός,55+,POINT Z (23.93033003530292 37.84048466913225 0),19010.0,,23.930330035302916,37.84048466913225,2012.0
119,2012.0,2012-08-03,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,70 Λεωφόρος Νάτο,Ασπρόπυργος,Αττική,,21:00 - 24:00,Πρόσκρουση,Λοιπά αίτια αναφερόμενα σε οδηγούς,car,Επιβάτης,26-35,POINT Z (23.59959534974564 38.07187429156534 0),19300.0,,23.59959534974564,38.07187429156534,2012.0
120,2012.0,2012-08-04,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,ΝΕΟ Αθηνών - Θεσ/κης,"27,5ο χλμ Αθηνών Λαμίας",Αφίδνες,Αττική,,24:00 - 07:00,Σύγκρουση,Αίτια αναφερόμενα σε επιβάτες,Other,Οδηγός,18-25,POINT Z (23.85624912459747 38.168873765412 0),19014.0,,23.85624912459747,38.168873765412,2012.0
121,2012.0,2012-08-06,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,80 Ανοίξεως,Αχαρναί,Αττική,,13:00 - 17:00,Εκτροπή,Λοιπά αίτια αναφερόμενα σε οδηγούς,car,Οδηγός,36-45,POINT Z (23.72643566097702 38.05709419544081 0),13675.0,,23.726435660977018,38.05709419544081,2012.0
